Pfizer;Moderna
41;15.33
39.85;15.5
40.76;16.96
40.98;16.27
41.17;16.95
41.08;16.33
40.11;16.48
40.65;17
40.16;16.74
40.51;16.59
39.92;16.26
40.26;16.31
40.32;16.69
40.32;16.69
40.07;15.56
39.97;14.79
38.82;14.64
38.52;14.91
37.47;14.45
38.65;14.63
39.42;15.13
40.24;16.6
40.65;16.22
40.23;16.27
39.92;17.18
40.13;18.14
39.53;17.05
40.03;17.99
39.51;18.17
39.69;18.69
39.53;18.53
39.79;19.66
40.19;21.44
40.19;21.44
40.38;20.83
40;19.92
39.95;19.34
40.72;19.88
40.84;21.65
40.78;23.7
40.7;22.1
41.09;22.6
41.1;22.27
40.83;21.12
40.66;21.37
39.68;20.65
39.24;20.59
38.76;20.93
39.34;20.43
39.56;19.26
39.82;19.97
39.05;20.82
39.61;21.82
39.63;22.18
40.1;20.35
39.98;20
40.15;19.34
39.67;19
39.71;19.4
40.21;19.9
39.83;19.27
40.09;19.66
40.26;20.35
40.61;20.59
40.68;19.7
40.61;21.33
40.52;23.08
40.75;25.96
40.89;27.23
40.61;26.82
40.51;26.8
40.07;25.73
39.54;24.61
39.9;25.84
38.79;23.78
37.8;23.5
37.33;22.51
36.95;23.63
37.37;24.7
37.32;25.76
37.55;25.74
37.89;26.26
37.53;25.14
38.5;26.03
38.65;26.4
38.88;28.34
39.24;27.2
39.48;27.1
38.7;24.55
38.82;23.54
38.52;23.26
38.6;24.92
38.46;24.43
38.54;23.59
39.01;23.12
39.47;23.46
39.31;23.08
39.43;22.6
39.5;22.7
39.8;22
39.74;21.38
39.77;21.83
39.72;21.54
39.55;21.7
39.72;21.49
39.36;20.78
39.74;19.85
40.03;19.47
40.27;17.7
40.49;17.94
40.69;17.52
40.83;15.67
40.45;16
40.84;16.3
40.29;16.16
40.53;15.4
40.65;15.77
40.83;15.74
41.24;15.5
41.33;15.18
41.4;14.7
41.48;14.04
41.48;13.77
40.75;13.7
41.17;14.34
41.07;14.64
41.49;14.73
41.92;14.4
42.09;15.31
42.09;15.31
41.63;14.96
41.05;14.29
41.11;14.85
41.77;14.48
40.74;14.44
40.19;14.2
40.52;14.32
40.62;14.14
40.52;14.03
40.82;14.26
40.54;14.11
40.59;14.05
40.85;13.6
40.66;14.47
40.45;13.51
40.85;14.12
39.29;13.69
36.77;13.4
36.82;13.1
36.26;13.01
36.02;12.73
35.04;12.26
35.03;12.29
34.68;12.85
34.95;13.19
34.46;13.33
33.55;13.02
33.37;13.3
32.46;12.74
32.69;12.67
32.85;13.16
33.35;13.4
32.81;14.15
33.05;14.29
33.25;14.16
32.55;13.88
33.03;14.97
32.55;14.51
33.25;14.82
33.49;15.18
33.7;15.73
33.7;15.73
34.24;14.88
33.97;15.42
34.45;15.53
34.6;15.88
34.91;16.03
35.43;17.09
35.46;15.92
35.34;16.4
34.99;16.71
34.91;17.05
34.6;17.66
34.49;17.78
34.61;17.9
34.78;18.07
34.35;17.83
34.14;17.82
34.03;17.18
33.92;16.34
34.33;15.9
34.06;15.92
33.59;14.81
32.89;14.86
33.6;15.07
34.06;15.51
33.97;15.47
33.59;15.31
33.83;14.2
33.93;14.16
34.23;14.05
34.41;13.93
34.6;14.33
34.45;14.15
34.56;14.54
34.56;14.81
34.56;15.5
34.53;15.92
34.86;16.9
34.5;16.59
34.86;17.01
35.34;17.03
36.22;16.99
36.48;17.14
36.37;16.75
36.39;15.66
36.05;16.8
35.53;16.89
35.65;16.13
34.99;17.5
35.12;17.49
35.01;17.4
35.05;17.99
34.69;18.25
34.65;18.34
35.34;19.37
35.28;19.45
35.7;19.36
35.12;20.18
35.78;20.2
36.33;20.69
36.67;20
36.3;20.33
36.62;20.37
36.62;20.37
36.51;20.36
36.3;19.76
36.07;21.28
36.15;21.27
36.05;20.64
36.3;18.94
36.33;18.78
36.48;18.87
36.23;18.65
36.53;18.45
36.33;18.62
37.1;18.52
36.88;18.44
36.87;18.64
36.94;19.41
37.19;19.83
37.27;19.7
37.24;19.75
37.33;19.86
37.27;19.52
36.88;19.05
37.14;19.56
37.1;19.23
36.9;18.89
36.86;18.13
36.73;17.78
37.03;17.98
36.87;18.4
37.43;19.14
37.36;20.26
37.98;20
38.55;20.24
38.5;21.01
38.4;20.62
38.4;20.62
38.24;20.94
38.1;21.97
38.59;21.47
37.75;21.12
38.07;22.74
36.15;22.36
35.62;20.55
35.14;20.99
35.3;20.51
35.56;20.38
35.73;20.87
36.18;20.05
36.27;19.88
36.07;23.24
35.84;23.65
36.11;21.35
35.78;19.01
35.01;19.05
34.61;19
34.61;19
34.43;18.91
34.34;18.92
33.98;18.54
33.86;18.23
32.87;18.59
32.16;23.76
32.91;29.16
32.33;26.16
31.68;25.93
33.06;29.88
32.51;27.91
34.51;27.49
33.61;28.01
33.2;29.61
32;24.29
32.79;22.34
30.5;23.61
28.46;22.3
31.01;21.3
28.61;26.49
30.49;28.18
30.68;31.58
28.84;28.27
27.5;28.2
27.01;26.57
28.15;25.82
28.2;27.13
30.1;27.94
29.29;30.05
30.97;30.48
30.94;29.95
30.1;29.67
31.16;33.2
31.89;34.84
32.77;34.64
31.86;32.02
32.8;32.42
33.55;31.86
33.31;32.9
34.54;34.66
34.1;37.25
34.01;40.6
34.99;46.85
34.2;51.69
33.77;49.26
34.36;51.2
34.78;47.44
35.43;50.5
36.33;48.05
35.94;47.88
36.14;46.37
36.36;45.99
35.68;47.93
35.66;50.5
36.51;49.34
36.51;48.95
35.04;53.19
35.28;59.25
36.12;66.9
35.42;62.35
35.12;65.18
35.95;64.56
35.79;66.69
36.09;80
35.72;71.67
35.67;73.47
35.32;67.05
35.55;69
35.54;57.71
35.46;52.18
36.19;55.54
36.2;61.5
33.61;62.18
34.28;59.87
34.28;59.89
34.14;60.59
34.12;58.19
34.69;59.1
34.33;58.23
34.05;60.07
31.57;60.2
31.99;62
31.62;66.57
31.66;64.34
31.81;63.31
31.51;64.95
31.68;66.35
31.39;64.75
31.06;62.94
30.51;64.84
30.64;62
30.37;61.28
30.94;62.08
31;64.21
31.98;61.59
32.71;58.57
32.71;58.57
32.71;59.15
32.26;61.09
31.99;61.58
31.72;64.97
32.07;62.61
33.38;71.78
33.4;75.04
33.86;80.22
33.75;81.81
34.36;94.85
34.6;82.68
34.78;80.86
36.55;83.22
36.41;75.33
35.7;73.21
35.59;79.91
36.99;81.49
37.22;79.51
36.72;77.63
36.48;74.1
36.35;77.98
36.39;78.46
36.45;75.8
36.28;73.76
36.45;74.1
36.39;72.01
35.82;68.97
36.33;69.52
36.18;67.83
36.08;69.15
36.35;69.76
36.36;67.03
36.27;68
36.7;67.81
36.86;66.45
36.82;64.88
36.41;66.25
36.07;70.5
35.89;68.03
35.94;67.49
35.82;64.89
34.96;63.32
35.26;64.72
34.51;64.84
34.47;62.6
34.47;62.6
34.06;54.34
34.3;56.9
33.79;57.56
34.19;59.34
35.08;63.67
35.04;66.88
34.87;68.84
34.9;67.89
34.72;69.87
34.15;69.26
34.36;68.72
34.13;67.16
33.9;65.17
34.17;69.47
34.5;70.55
34.29;70.52
34.79;70.75
34.48;70.03
34.49;68.81
34.84;71.95
34.29;71.04
34.57;72.37
34.97;72.93
34.88;73
34.9;75.31
34.98;78.29
34.94;76.56
34.65;75.58
35.97;73.94
35.83;70.96
35.54;71.31
35.15;68.37
35.48;70.84
36.19;70.53
35.95;70.24
35.48;70.67
33.6;65.74
33.44;71.28
33.63;67.47
34.34;67.11
34.31;69.08
35.39;69.81
34.5;71.48
34.51;72.45
37.16;77.74
36.67;76.05
36.5;82.44
35.6;87.81
36.61;89.39
35.39;97.95
36.04;93.15
36.32;88.89
36.19;92.77
36.7;97.61
36.52;101.03
36.6;98.56
36.53;109.18
36.53;109.18
37.23;127.03
38.31;152.74
39.41;141.01
40.8;143
40.09;157.26
40.34;152.52
41.25;159.52
42.56;169.86
41.85;156.59
41.73;155.69
41.12;156.93
39.21;155.07
38.71;147.22
37.84;137.03
38.03;144
37.68;140.23
37.38;138.3
36.74;125.88
37.44;130.34
37.27;123.39
36.82;111.4
37.05;114.39
36.74;111.13
36.81;104.47
36.81;111.73
37.19;109.18
36.87;116.26
37.06;115.09
37.13;112.75
37.77;117.26
37.18;124.55
36.86;124.06
36.75;129.72
36.7;129.65
36.7;129.65
36.73;125.01
36.5;125.14
36.48;132.98
36.55;131.02
37.28;147
37.31;151.93
36.24;155.73
35.86;159.55
35.9;173.16
35.8;157.48
34.99;158.58
34.84;165.86
34.89;173.31
34.92;176.24
34.82;185.98
34.97;179.52
34.74;179.34
34.43;183.44
34.72;183.74
34.72;183.74
34.69;178.53
34.89;176.76
34.56;169.57
34.44;174.74
34.26;159.37
33.91;150.17
33.75;144.79
33.82;148.38
33.49;154.81
33.69;157.4
33.51;146.81
34.39;131.22
34.2;132.3
34.39;132.19
34.35;123.47
34.45;130.87
34.93;129.75
34.71;140.47
34.94;136.99
35.41;143.66
35.83;156.02
35.79;147.55
35.77;141.46
35.53;143.74
36;145.6
35.36;136.52
35.61;131.61
35.67;133.33
36.25;133.28
36.62;123.42
36.11;118.49
36.23;130.95
36.3;132.55
36.28;129.91
36.05;133.53
35.91;131.47
35.96;133.88
36.6;140.92
36.97;139.4
37.16;149.71
37.17;160.03
37.6;159.87
38.57;170.81
38.93;161.91
39.03;156.78
39.53;169.5
38.64;168.1
38.66;173.63
38.68;177.61
38.45;183.41
38.81;178.68
38.6;175.67
38.65;178.82
39.83;186.02
39.95;173.59
39.97;162.84
39.19;160.5
39.58;163.15
39.86;158.55
