avganncount;avgdeathsperyear
1397;469
173;70
102;50
427;202
57;26
428;152
250;97
146;71
88;36
4025;1380
113;36
740;269
55;26
3438;1118
2265;901
251;106
1390;483
32;12
305;120
1081;367
134;50
958;403
94;41
499;215
152;70
80;40
164;69
564;237
50;25
70;26
25;19
280;137
45;21
58;22
250;103
145;66
218;85
68;29
449;192
182;78
245;101
1285;539
124;50
139;60
245;113
137;70
373;144
208;87
168;78
418;184
170;76
163;76
382;132
86;39
105;52
160;72
308;123
45;19
45;21
50;23
183;73
328;114
482;206
161;68
72;32
89;41
76;36
87;39
56;19
61;27
142;60
236;102
65;33
120;50
35;14
554;217
134;69
164;73
90;45
254;112
88;42
1214;406
71;33
103;50
238;79
356;123
184;70
323;123
109;43
2015;707
463;201
208;77
187;104
177;72
454;177
23;13
579;206
68;25
257;108
187;74
89;32
29;15
20;10
16;10
40;13
30;14
24;12
104;39
39;15
31;12
72;33
411;151
360;133
452;156
223;93
487;178
2075;694
879;309
1758;570
643;227
273;102
1624;584
5164;1722
2768;914
2963;1039
847;314
847;317
3553;1272
1691;602
2353;876
731;210
1997;648
3980;1357
3887;1269
2795;884
4355;1607
2305;827
415;164
1673;549
822;281
2663;909
623;227
2820;1031
28;10
272;123
109;42
76;30
153;66
14;8
799;319
239;107
166;76
21;8
22;11
214;99
117;41
94;27
144;64
205;82
25;10
286;122
56;27
164;71
68;32
564;188
435;166
125;57
691;231
100;47
84;34
154;62
108;32
18;9
334;133
1775;637
282;105
5834;2059
1235;442
515;171
465;163
950;315
559;214
337;121
335;155
12;5
205;88
410;159
38;18
108;41
90;32
101;48
107;73
862;283
183;77
70;33
84;31
72;27
216;109
100;43
309;120
120;44
94;39
103;48
107;49
106;44
225;82
137;65
97;52
346;156
145;52
99;48
155;59
1142;407
189;91
44;17
57;22
493;204
115;58
378;157
137;81
110;69
235;104
171;92
97;43
518;191
460;160
40;17
72;30
224;127
178;84
312;136
121;49
176;106
171;71
272;103
405;165
64;58
46;19
250;60
995;378
117;43
320;130
55;16
51;25
120;39
709;270
190;51
139;65
391;165
108;41
773;321
985;393
22;9
249;88
67;24
489;229
51;21
948;406
576;235
162;63
181;64
406;169
1825;688
157;58
135;23
117;59
54;21
112;60
814;296
399;144
575;235
1859;771
30;14
571;240
194;70
41;19
230;86
11;4
362;149
489;189
505;165
273;91
8999;2939
187;79
211;94
286;125
88;40
204;101
136;70
523;229
211;76
2484;940
195;83
84;55
551;168
219;86
230;111
153;67
228;100
1352;435
275;110
186;93
72;41
260;105
883;372
1199;454
103;45
2809;965
12;5
78;42
492;189
138;54
512;217
855;316
33;16
75;31
4974;1809
186;72
343;141
144;82
222;89
108;70
436;160
84;39
652;325
348;137
88;37
975;379
236;120
6825;2231
128;54
134;62
49;22
165;60
59;30
145;64
1060;384
99;44
228;97
1160;439
953;382
293;134
209;102
54;29
421;157
323;131
385;168
1490;494
10411;3927
212;84
489;169
418;159
282;100
320;116
1662;569
6146;2183
255;97
274;105
354;134
388;141
338;128
45;17
404;134
554;196
11217;3824
154;59
345;133
428;150
4243;1507
326;115
8450;2549
8072;2584
1385;506
1470;542
2820;1011
657;228
1860;628
252;95
34;15
828;313
213;84
745;288
65;30
298;119
398;150
412;147
279;107
243;93
117;42
164;61
3590;1216
105;45
154;54
648;240
511;215
1007;387
145;61
588;206
540;183
107;33
214;93
298;112
82;33
230;98
689;255
144;58
823;293
265;113
554;253
622;237
822;315
401;163
333;136
203;80
370;138
280;114
453;196
93;39
225;85
24;13
783;273
257;106
3500;1126
132;57
83;33
207;69
611;258
404;173
431;193
219;89
134;49
17;6
76;31
32;12
43;19
22;12
14;5
403;137
622;198
28;13
26;12
11;4
17;7
20;10
24;11
26;10
10;5
277;99
18;8
22;11
19;8
13;4
27;10
11;4
36;13
22;8
19;9
70;22
55;17
160;56
42;17
23;13
9;3
43;22
26;10
67;27
35;16
14;6
90;28
61;26
31;11
9;4
15;6
126;43
10;4
130;53
19;7
53;19
266;99
1072;424
220;98
116;51
119;60
370;156
887;375
210;102
68;33
27;15
146;66
63;38
104;46
76;27
98;54
189;83
51;18
120;62
120;47
374;187
296;134
190;117
93;51
53;28
146;63
73;31
98;42
455;173
92;48
78;35
665;292
106;39
197;94
102;50
174;83
87;36
71;37
196;77
93;42
119;52
435;175
116;52
39;22
102;51
50;29
61;29
85;38
68;36
125;66
331;135
77;39
126;61
206;104
194;112
61;28
58;24
48;25
250;102
48;24
148;69
65;29
110;62
58;27
145;76
116;57
313;138
55;25
1908;739
317;140
103;54
113;59
590;218
60;30
57;29
583;258
68;31
134;56
81;36
255;116
113;51
756;303
406;174
50;22
